Food_ID,Commodity,Category,Moisture_pct,Fat_pct,Protein_pct,pH,Respiration_Rate,Shelf_Life_Days,Storage_Temperature_C,Relative_Humidity_pct,Storage_Type,Transportation,Recommended_Packaging,Film_Thickness_um,OTR_Class,WVTR_Class,MAP_Suitable,raw_moisture_pct,is_flagged,flag_reason
F00001,Potato Chips,Snacks,2.15,29.88,6.12,6.38,Very_Low,178,24.9,72.0,Ambient,Long_Distance,Metallized_PET_PE,84,Low,Very_Low,Yes,2.15,False,
F00002,Milk Powder,Dairy,4.02,25.88,26.02,6.55,Very_Low,355,24.9,61.0,Ambient,Long_Distance,Aluminum_Laminate,96,Very_Low,Very_Low,No,4.02,False,
F00003,Tomato,Fresh Produce,94.5,0.24,0.91,4.24,High,13,5.5,87.0,Chilled,Refrigerated,Micro_Perforated_PE,37,High,High,Yes,101.08,True,Moisture > 100% (clipped to 94.5% standard tomato value); 
F00004,Apple,Fresh Produce,88.04,0.36,0.26,3.55,High,56,4.8,81.0,Chilled,Long_Distance,Micro_Perforated_PE,48,High,High,Yes,88.04,False,
F00005,Biscuits,Bakery,3.6,18.11,7.16,7.02,Very_Low,179,24.8,48.0,Ambient,Normal,BOPP_PE,56,Low,Low,No,3.6,False,
F00006,Fresh Chicken,Meat,72.83,8.02,21.96,5.89,Very_Low,4,3.7,84.0,Chilled,Normal,PA_PE_Vacuum,89,Low,Very_Low,Yes,72.83,True,Proximate sum > 100%; 
F00007,Frozen Peas,Frozen Vegetable,80.15,0.49,5.54,6.29,Low,361,-18.6,72.0,Frozen,Long_Distance,PE_Film,75,Medium,Low,Yes,80.15,False,
F00008,Coffee Powder,Beverage,3.44,14.49,14.4,5.21,Very_Low,373,24.2,62.0,Ambient,Normal,Metallized_PET_PE,80,Very_Low,Very_Low,No,3.44,False,
F00009,Peanuts,Nuts,6.11,51.26,24.97,6.69,Very_Low,156,25.4,60.0,Ambient,Long_Distance,Metallized_PET_PE,79,Very_Low,Very_Low,No,6.11,False,
F00010,Cheese,Dairy,38.66,33.57,25.22,5.08,Very_Low,56,4.1,86.0,Chilled,Refrigerated,PA_PE_Vacuum,93,Low,Very_Low,Yes,38.66,False,
